HudongItem,relation,NewNode
神话传说,composer,椎名豪
莱姆病,symptoms,fasciculation
奎尼丁,significant drug interaction,氟哌啶醇
FDR,award received,Knight Grand Cross of the Military Order of William
黄金时代,award received,国家影片登记部
光州,contains administrative territorial entity,春申街道
1180年,has part,April 1180
宋子安,sibling,宋子文
神话传说,developer,Namco
莱姆病,symptoms,感觉异常
奎尼丁,significant drug interaction,ibutilide
FDR,award received,Albert Medal
黄金时代,award received,奥斯卡最佳男配角奖
姓氏,subclass of,专有名词
节拍,instance of,music term
佩拉,instance of,ancient city
宁夏枸杞,instance of,生物分类单元
Petch,place of death,金斯林
1922年,topic's main category,Category:1922年
光州,contains administrative territorial entity,定城街道
宋子安,sibling,宋美龄
神话传说,platform,PlayStation 2
Silk,director,弗朗索瓦·基拉德
莱姆病,symptoms,vertigo
奎尼丁,significant drug interaction,mesoridazine
黄金时代,award received,奥斯卡最佳男主角奖
姓氏,subclass of,anthroponym
节拍,subclass of,音乐的基本要素
佩拉,instance of,遗迹
推理机,part of,知识库系统
蝴蝶果属,topic's main category,Category:Cleidiocarpon
Petch,occupation,植物学家
1922年,has part,November 1922
光州,contains administrative territorial entity,弋阳街道
宋子安,sibling,宋庆龄
神话传说,game mode,单人电子游戏
Silk,screenwriter,弗朗索瓦·基拉德
莱姆病,symptoms,心律不整
奎尼丁,significant drug interaction,美沙酮
黄金时代,award received,奥斯卡最佳导演奖
雷雨云,instance of,cloud genera
等级分,instance of,rating system
领事,instance of,外交官衔
编译,instance of,type of software
法称,instance of,人类
MS,instance of,美国州份
节拍,part of,音乐理论
推理机,said to be the same as,重写逻辑
Pierre,instance of,state or insular area capital in the United States
李思忠,place of birth,辉县市
Petch,occupation,mycologist
1922年,has part,August 1922
光州,contains administrative territorial entity,老城街道
宋子安,sibling,宋霭龄
Silk,cast member,迈克尔·皮特
莱姆病,drug used for treatment,头孢曲松
奎尼丁,significant drug interaction,昂丹司琼
黄金时代,award received,奥斯卡最佳影片剪辑奖
等级分,named after,阿尔帕德·埃洛
领事,subclass of,外交官
编译,subclass of,软件开发工具
姓氏,topic's main template,Template:Infobox family name
节拍,topic's main category,Category:节奏
佩拉,country,马其顿王国
Pierre,named after,Pierre Chouteau Jr.
扬子,occupation,语言学家
1922年,has part,April 1922
光州,contains administrative territorial entity,双柳树镇
宋子安,occupation,银行家
神话传说,distribution,数码多功能影音光碟
Silk,cast member,姬拉·丽莉
莱姆病,drug used for treatment,头孢呋辛
奎尼丁,significant drug interaction,喷他脒
黄金时代,award received,奥斯卡最佳改编剧本奖
雷雨云,said to be the same as,thunderhead
等级分,creator,阿尔帕德·埃洛
领事,described by source,Otto's encyclopedia
编译,subclass of,编程语言的实施
仿生学,topic's main category,Category:仿生学
姓氏,topic's main category,Category:姓氏
节拍,described by source,亚美尼亚苏维埃百科全书
佩拉,located in the administrative territorial entity,Municipality of Pella
宁夏枸杞,this taxon is source of,Lycii Cortex
乔木,manner of death,自然死亡
1922年,has part,December 1922
光州,contains administrative territorial entity,伞陂镇
神话传说,CERO rating,A (All ages)
Silk,cast member,阿尔弗雷德·莫里纳
莱姆病,drug used for treatment,阿莫西林
奎尼丁,significant drug interaction,匹莫齐特
FDR,educated at,哈佛学院
黄金时代,award received,Academy Award for Best Original Dramatic or Comedy Score
等级分,topic's main template,Template:Peak rating of chess players
编译,product or material produced,目标代码
姓氏,described by source,亚美尼亚苏维埃百科全书
佩拉,heritage designation,listed archaeological site in Greece
宁夏枸杞,this taxon is source of,Lycii Fructus
扬子,occupation,作家
乔木,spouse,龚澎
李思忠,occupation,动物学家
1922年,has part,February 1922
光州,contains administrative territorial entity,卜塔集镇
Silk,cast member,役所広司
莱姆病,pathogen transmission process,tick borne transmission
奎尼丁,significant drug interaction,普罗布考
FDR,educated at,哥伦比亚法学院
黄金时代,nominated for,奥斯卡最佳男配角奖
等级分,different from,Elo
编译,opposite of,反编译器
佩拉,described by source,大保利古典学百科全书
宁夏枸杞,this taxon is source of,goji
Pierre,capital of,休斯县
乔木,spouse,章含之
1922年,has part,January 1922
光州,contains administrative territorial entity,仁和镇 (潢川县)
Silk,cast member,马克·蓝道尔
莱姆病,topic's main category,Category:Lyme disease
奎尼丁,significant drug interaction,普鲁卡因胺
FDR,educated at,格罗顿学校
黄金时代,nominated for,奥斯卡最佳男主角奖
编译,uses,源代码
姓氏,said to be the same as,氏族名
Pierre,located in the administrative territorial entity,休斯县
乔木,child,乔宗淮
1922年,has part,July 1922
光州,contains administrative territorial entity,付店镇 (潢川县)
Silk,cast member,中谷美纪
奎尼丁,significant drug interaction,sevoflurane
黄金时代,nominated for,奥斯卡最佳导演奖
编译,topic's main category,Category:编译器软件
姓氏,said to be the same as,家族名
乔木,occupation,外交官
李思忠,occupation,science writer
1922年,has part,June 1922
光州,contains administrative territorial entity,踅孜镇
Silk,cast member,考乐姆·吉斯·雷尼
奎尼丁,significant drug interaction,sotalol
黄金时代,nominated for,奥斯卡最佳影片剪辑奖
Pierre,located in time zone,UTC−06:00
李思忠,occupation,翻译员
1922年,has part,May 1922
光州,contains administrative territorial entity,桃林铺镇
Silk,cast member,Carlo Cecchi
奎尼丁,significant drug interaction,sparfloxacin
FDR,work location,华盛顿哥伦比亚特区
黄金时代,nominated for,奥斯卡最佳改编剧本奖
MS,located in or next to body of water,Pearl River
Pierre,located in time zone,北美中部时区
乔木,academic degree,Doktor Nauk in Philosophy
1922年,has part,March 1922
光州,contains administrative territorial entity,黄寺岗镇
Silk,cast member,Domenico Procacci
奎尼丁,significant drug interaction,舒必利
FDR,member of political party,民主党
黄金时代,nominated for,奥斯卡最佳影片奖
MS,located in or next to body of water,匹克威克湖
Pierre,shares border with,堡皮埃尔
1922年,has part,October 1922
光州,contains administrative territorial entity,江家集镇
Silk,cast member,国村隼
奎尼丁,significant drug interaction,terfenadine
FDR,religion,美国圣公会
黄金时代,nominated for,Academy Award for Best Original Dramatic or Comedy Score
MS,highest point,Woodall Mountain
Pierre,shares border with,斯坦利县
1922年,has part,September 1922
光州,contains administrative territorial entity,传流店乡
Silk,cast member,Ken Walsh
奎尼丁,significant drug interaction,thioridazine
FDR,medical condition,脊髓灰质炎
黄金时代,nominated for,奥斯卡最佳混音奖
Pierre,topic's main category,Category:Pierre South Dakota
李思忠,field of work,渔业学
光州,contains administrative territorial entity,魏岗乡
Silk,cast member,Martha Burns
奎尼丁,physically interacts with,Potassium channel subfamily U member 1
FDR,medical condition,截瘫
黄金时代,FSK film rating,FSK 12
MS,office held by head of government,密西西比州州长列表
Pierre,category of associated people,Category:People from Pierre South Dakota
李思忠,field of work,科学普及
光州,contains administrative territorial entity,张集乡 (潢川县)
Silk,cast member,渡边奈绪子
奎尼丁,physically interacts with,Potassium voltage-gated channel subfamily H member 1
FDR,handedness,右撇子
黄金时代,has quality,fails the Bechdel Test
MS,head of government,菲尔·布莱恩特
李思忠,employer,中国科学院动物研究所
光州,contains administrative territorial entity,来龙乡 (潢川县)
Silk,director of photography,Alain Dostie
奎尼丁,physically interacts with,Potassium voltage-gated channel subfamily H member 5
FDR,archives at,Franklin D. Roosevelt Presidential Library and Museum
MS,legislative body,密西西比州议会
光州,contains administrative territorial entity,隆古乡
Silk,film editor,Pia Di Ciaula
奎尼丁,physically interacts with,Potassium voltage-gated channel subfamily A member 5
FDR,topic's main category,Category:罗斯福
MS,replaces,密西西比领地
光州,contains administrative territorial entity,谈店乡
Silk,composer,坂本龙一
奎尼丁,physically interacts with,Potassium voltage-gated channel subfamily A member 7
FDR,described by source,亚美尼亚苏维埃百科全书
MS,contains administrative territorial entity,亚当斯县
李思忠,influenced by,杨锺健
光州,contains administrative territorial entity,上油岗乡
Silk,production company,Fandango
奎尼丁,physically interacts with,Solute carrier family 29 member 4
FDR,catalog,Wikipedia:基础条目
MS,contains administrative territorial entity,奥尔康县
李思忠,influenced by,Л. С. 贝尔格
光州,contains administrative territorial entity,白店乡
Silk,distributor,Medusa Film
奎尼丁,pregnancy category,Australian pregnancy category C
MS,contains administrative territorial entity,阿米特县
李思忠,influenced by,П. Ю. 施米德特
奎尼丁,pregnancy category,US pregnancy category C
MS,contains administrative territorial entity,阿塔拉县
李思忠,influenced by,Г. В. 尼科尔斯基
光州,located in time zone,UTC+08:00
MS,contains administrative territorial entity,本顿县
李思忠,influenced by,John Treadwell Nichols
MS,contains administrative territorial entity,玻利瓦尔县
李思忠,influenced by,约瑟夫·纳尔逊
光州,shares border with,光山县
Silk,Filmiroda rating,Category II
MS,contains administrative territorial entity,卡尔霍恩县
李思忠,influenced by,郑作新
Silk,FSK film rating,FSK 12
MS,contains administrative territorial entity,卡洛尔县
李思忠,significant event,反右运动
MS,contains administrative territorial entity,奇克索县
李思忠,significant event,三年大饥荒
光州,shares border with,淮滨县
MS,contains administrative territorial entity,乔克托县
君山岛,instance of,岛屿
黄泥螺,instance of,生物分类单元
阖闾,instance of,人类
MS,contains administrative territorial entity,Claiborne County
通城县,instance of,subdivision of Hubei
大月,instance of,unit without standard conversion to SI
MS,contains administrative territorial entity,克拉克县
李思忠,educated at,西北师范大学
梨球针壳,instance of,生物分类单元
云南沙棘,instance of,生物分类单元
常州市,instance of,地级市
生母,instance of,声母
大月,subclass of,时段
黄泥螺,parent taxon,Bullacta
阖闾,father,诸樊
MS,contains administrative territorial entity,克莱县
罗马人,country,古罗马
垃圾箱,main subject,废物管理
通城县,located in the administrative territorial entity,咸宁市
阖闾,father,馀眛
MS,contains administrative territorial entity,科荷马县
李思忠,work location,永济市
水化,instance of,维基媒体消歧义页
江津,instance of,人类
荀况,instance of,人类
滇丁香,instance of,生物分类单元
罗马人,topic's main category,Category:罗马公民
垃圾箱,topic's main category,Category:Waste containers
潮田,different from,Shiota
通城县,contains administrative territorial entity,隽水镇
大月,topic's main category,Category:月份
MS,contains administrative territorial entity,科派亚县
李思忠,work location,华阴市
Halle,instance of,独立市
常州市,contains administrative territorial entity,天宁区
通城县,contains administrative territorial entity,麦市镇
大月,described by source,亚美尼亚苏维埃百科全书
阖闾,sibling,夫概
MS,contains administrative territorial entity,卡温顿县
李思忠,affiliation,中国科学院动物研究所
王同,instance of,人类
Sus,instance of,生物分类单元
头纹宽吻鲀,instance of,生物分类单元
Jade,instance of,男性人名
葡萄糖酸,instance of,gluconic acid
Halle,instance of,Luther city
滇丁香,parent taxon,滇丁香属
橘色,part of,seven prismatic colours
常州市,contains administrative territorial entity,钟楼区
